YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
1,2MASS J18184809-1345273,18 18 48.09012,-13 45 27.3336,12.45,11.813,11.399
1,2MASS J18183631-1347023,18 18 36.31509,-13 47 02.4923,12.962,10.665,9.399
1,2MASS J18185218-1346090,18 18 52.186,-13 46 09.03,16.185,15.109,14.495
1,2MASS J18183668-1348205,18 18 36.68450,-13 48 20.5689,13.601,12.687,12.372
1,2MASS J18183846-1345561,18 18 38.46540,-13 45 56.2222,10.59,10.213,10.057
1,2MASS J18184096-1345296,18 18 40.96523,-13 45 29.6445,9.614,9.315,9.193
1,2MASS J18185335-1346264,18 18 53.356,-13 46 26.42,14.725,13.441,12.56
1,2MASS J18183593-1347000,18 18 35.93240,-13 47 00.0693,14.438,13.501,13.184
1,2MASS J18184794-1345198,18 18 47.95529,-13 45 19.7857,13.947,12.727,12.116
1,2MASS J18185179-1345526,18 18 51.792,-13 45 52.61,13.919,12.804,12.342
1,2MASS J18183742-1346078,18 18 37.42728,-13 46 08.0276,14.081,12.58,11.492
1,2MASS J18185476-1347311,18 18 54.76589,-13 47 31.0887,15.06,13.925,13.405
1,2MASS J18185025-1345317,18 18 50.26579,-13 45 31.6199,14.737,13.446,12.663
1,2MASS J18184311-1345126,18 18 43.10643,-13 45 12.8790,15.639,14.368,13.781
1,2MASS J18183880-1345434,18 18 38.80295,-13 45 43.4767,15.178,14.121,13.695
1,2MASS J18184722-1349497,18 18 47.23190,-13 49 49.6989,15.985,14.956,14.521
1,2MASS J18184652-1345107,18 18 46.52559,-13 45 10.6255,13.588,12.611,11.888
1,2MASS J18183594-1346419,18 18 35.94921,-13 46 41.9401,,12.006,
1,2MASS J18184832-1345166,18 18 48.321,-13 45 16.66,16.034,14.923,14.077
1,2MASS J18185467-1347001,18 18 54.67361,-13 47 00.2161,14.726,13.819,13.379
1,2MASS J18185131-1345402,18 18 51.31333,-13 45 40.3693,15.869,14.804,14.343
1,2MASS J18183520-1347251,18 18 35.21039,-13 47 25.1450,15.271,14.56,14.146
1,2MASS J18184904-1349443,18 18 49.044,-13 49 44.37,15.833,14.561,13.761
1,2MASS J18184923-1345187,18 18 49.26749,-13 45 18.6937,15.775,14.011,12.55
1,2MASS J18184635-1345063,18 18 46.359,-13 45 06.39,15.804,14.664,13.974
1,2MASS J18183856-1345409,18 18 38.54956,-13 45 40.9320,15.357,14.062,13.094
0,2MASS J18184864-1349498,18 18 48.63329,-13 49 49.4550,13.682,12.405,11.386
1,2MASS J18183550-1348198,18 18 35.51267,-13 48 19.8628,14.675,13.67,13.334
1,2MASS J18183622-1346191,18 18 36.23243,-13 46 19.1530,13.016,12.245,12.021
1,2MASS J18183635-1346127,18 18 36.35299,-13 46 12.7856,14.783,13.781,13.359
1,2MASS J18185524-1347595,18 18 55.24133,-13 47 59.5463,14.255,13.477,13.205
1,2MASS J18185543-1347358,18 18 55.43819,-13 47 35.7909,13.996,13.038,12.622
1,2MASS J18183995-1349413,18 18 39.94883,-13 49 41.6644,14.612,13.697,13.403
1,2MASS J18184171-1345077,18 18 41.71685,-13 45 07.7423,15.127,14.069,13.801
1,2MASS J18183541-1348301,18 18 35.41429,-13 48 30.2805,15.295,14.145,13.578
