MAIN_ID,RAJ2000 ( deg ),DEJ2000 ( deg ),j,h,k
03022114+0100568,45.588109,1.015795,13.825,13.178,13.055
03022960+0101242,45.623365,1.023389,15.541,14.863,14.691
03022344+0101436,45.597707,1.028785,16.417,15.656,15.369
03022721+0102005,45.613414,1.033483,13.114,12.703,12.587
03024043+0101062,45.668494,1.018414,16.404,15.946,15.29
03023473+0101496,45.644717,1.030455,16.416,15.479,15.336
03024759+0102360,45.698317,1.043349,15.306,14.519,14.494
03024710+0102469,45.696255,1.046377,16.108,15.463,15.16
03024218+0102542,45.675787,1.048395,17.239,15.878,15.249
03024139+0103028,45.672475,1.050781,16.673,15.845,15.23
03024244+0103312,45.676842,1.058672,15.985,15.579,15.593
03023371+0103362,45.640466,1.06006,16.771,15.818,15.599
03024058+0103304,45.669114,1.058461,16.836,17.29,16.088
03024003+0103480,45.666833,1.063336,15.945,15.252,14.881
03023564+0103552,45.648501,1.065336,15.39,14.803,14.719
03021987+0101137,45.582816,1.020487,16.731,16.349,15.117
03021984+0101176,45.5827,1.021573,16.602,15.968,14.938
03022100+0101429,45.587505,1.028606,16.476,15.964,16.636
03021836+0101359,45.576507,1.026647,16.418,15.423,15.342
03021897+0102085,45.57906,1.03572,16.673,16.026,15.319
03022522+0102095,45.605124,1.035985,14.145,13.559,13.356
03021644+0102459,45.568508,1.046086,16.183,15.803,15.257
03021360+0102436,45.556676,1.045471,16.819,16.23,16.774
03021070+0102369,45.544599,1.043592,14.632,14.155,14
03021829+0103246,45.576214,1.056836,16.988,16.084,15.486
03023174+0103487,45.632288,1.063534,12.365,11.836,11.742
03022494+0103255,45.603923,1.057085,11.827,11.543,11.468
03023563+0104566,45.648476,1.082391,14.078,13.33,13.171
03022149+0105100,45.589558,1.086137,17.146,16.276,15.478
03023058+0105573,45.627431,1.099259,11.779,11.323,11.199
03025059+0104054,45.710824,1.068168,16.567,16.049,15.368
03025298+0104157,45.72077,1.071034,15.957,15.301,15.347
03025474+0104374,45.728101,1.077072,14.156,13.423,13.219
03024714+0105360,45.696453,1.093339,15.217,14.855,14.671
03025241+0106163,45.718401,1.104534,14.212,13.943,13.927
03024792+0106320,45.699701,1.108913,14.28,13.62,13.395
03025878+0105300,45.744925,1.091693,16.8,16.275,15.927
03025931+0106551,45.747152,1.115312,16.617,16.035,15.59
03025663+0107314,45.735964,1.125416,14.843,14.112,13.893
03025416+0107372,45.725671,1.127014,17.121,16.252,16.036
03024269+0106264,45.677887,1.107342,11.059,10.802,10.715
03023988+0107210,45.666167,1.122503,15.093,14.329,14.09
03023566+0107108,45.64862,1.119677,14.409,13.988,13.817
03024789+0107292,45.699574,1.124791,16.659,16.015,15.893
03025043+0108411,45.710139,1.14476,14.4,13.821,13.681
03025532+0110128,45.73054,1.170244,18.623,16.003,17.238
03025208+0109536,45.717041,1.16491,13.346,12.98,12.898
03024485+0108477,45.686886,1.146589,14.41,13.706,13.575
03024499+0109119,45.687492,1.153314,16.627,16.19,15.633
03025140+0110535,45.714182,1.18154,16.913,16.361,16.028
03024812+0110248,45.700538,1.173575,16.282,15.567,15.406
03024535+0110370,45.688984,1.176953,16.676,16.05,15.437
03041575+0054396,46.065627,0.911013,15.706,15.337,15.291
03041096+0054562,46.045669,0.915615,16.302,15.833,15.63
03041622+0056157,46.067593,0.937718,16.664,15.952,15.299
03041584+0057122,46.066012,0.953396,14.403,13.813,13.775
03042323+0056270,46.096827,0.940842,11.395,10.808,10.554
03042255+0057413,46.093965,0.961489,16.719,16.303,15.665
03043216+0058127,46.134034,0.970198,16.487,16.056,15.563
03042806+0058052,46.116946,0.968135,16.202,15.429,14.863
03041575+0058266,46.065661,0.974082,17.145,16.507,15.952
03042007+0058368,46.083638,0.976908,15.789,14.98,14.39
03041716+0058379,46.071522,0.977199,17.219,16.807,15.875
03041869+0059063,46.077895,0.985108,16.56,15.994,15.29
03042368+0059052,46.09867,0.984789,15.868,15.253,14.93
03040814+0057587,46.033954,0.966325,16.94,16.098,15.702
03041235+0058195,46.051492,0.972087,15.243,14.913,14.642
03040966+0058188,46.040285,0.971889,15.838,15.221,15.03
03041077+0058292,46.044875,0.97479,12.944,12.632,12.543
03041136+0058320,46.047339,0.975565,15.036,14.429,14.308
03035635+0057237,45.984824,0.956601,16.423,15.904,14.905
03041334+0058276,46.055612,0.974337,16.907,16.633,15.648
03041399+0058562,46.058323,0.982304,16.581,15.943,15.093
03041953+0059471,46.081384,0.99643,16.571,15.64,15.256
03041506+0100158,46.062765,1.004413,15.893,15.221,14.687
