MAIN_ID,RAJ2000 ( deg ),DEJ2000 ( deg ),j,h,k
02590768+0042489,44.782016,0.713601,15.787,15.124,14.703
02590737+0042540,44.780747,0.715009,15.832,15.279,15.056
02590934+0043013,44.788955,0.717035,16.643,16.134,15.612
02590706+0043273,44.779424,0.72427,16.656,16.156,15.612
02590946+0044118,44.789457,0.736627,15.958,15.631,15.425
02591052+0044164,44.793849,0.737893,16.251,15.522,14.803
02590120+0044163,44.755031,0.737862,16.134,15.647,15.423
02590761+0045483,44.781725,0.763431,16.217,15.324,14.708
02585096+0044047,44.712336,0.734664,16.539,15.961,15.306
02585303+0044268,44.720961,0.740787,14.339,13.844,13.819
02585193+0044423,44.716416,0.745098,13.818,13.17,13.05
02584832+0045595,44.701334,0.766543,15.624,14.977,14.563
02585889+0045178,44.745378,0.754951,13.44,12.808,12.679
02585736+0047174,44.739004,0.788189,15.105,14.297,13.794
02585892+0047323,44.745532,0.792328,14.977,14.256,13.795
02590027+0047547,44.751129,0.798528,15.597,14.968,14.506
02581667+0041238,44.569467,0.689959,12.878,12.344,12.251
02581144+0042152,44.547672,0.704229,15.602,15.284,15.133
02581351+0043080,44.55632,0.718913,16.971,16.137,16.078
02582590+0043414,44.607932,0.728186,16.103,15.351,15.282
02583497+0044476,44.645734,0.746576,13.458,13.118,13.059
02582754+0044197,44.614772,0.73883,15.704,15.032,15.133
02582640+0044467,44.610012,0.746333,15.996,15.5,15.448
02581932+0044297,44.580539,0.74161,14.256,13.972,13.805
02580267+0043023,44.511129,0.717326,15.88,14.741,14.664
02580972+0043469,44.540515,0.729717,16.907,15.998,15.272
02580557+0044442,44.523222,0.745619,13.704,13.107,12.799
02580988+0045097,44.541183,0.75272,16.48,16.311,17.153
02580745+0045179,44.531064,0.754981,16.812,15.687,15.054
02581459+0045029,44.560797,0.750825,15.438,14.87,14.706
02581225+0045211,44.551062,0.755876,15.379,14.705,14.54
02581781+0045293,44.574212,0.758156,16.557,17.471,17.136
02581279+0045554,44.553323,0.765396,15.241,14.493,14.545
02581348+0046369,44.556173,0.776944,16.479,15.756,15.206
02582376+0046465,44.599021,0.779605,16.064,15.883,15.603
02581115+0047568,44.546476,0.799134,16.903,15.973,15.333
02583708+0045442,44.654515,0.762284,16.931,16.243,15.631
02583873+0046022,44.661381,0.767278,15.54,14.861,14.609
